"subgroup","outcome","Group","N_total","N_events","Person_years_at_risk","Incidence_rate_per_1000_PY","Adjusted_HR_with_CI","NNH","NNH_CI_lower","NNH_CI_upper","ARR"
"Overall","Stroke","Matched Controls",136624,4534,111733,"40.6 (39.4, 41.8)","1.28 (1.2, 1.37)",96.74,76.61,131.24,0.0103
"Overall","Stroke","Risperidone Users",28403,1075,20194,"53.2 (50.1, 56.4)","1.28 (1.2, 1.37)",96.74,76.61,131.24,0.0103
"Overall","stroke.hes","Matched Controls",136624,2461,112550,"21.9 (21, 22.7)","1.24 (1.13, 1.36)",233.73,159.49,437.28,0.0043
"Overall","stroke.hes","Risperidone Users",28403,550,20377,"27 (24.7, 29.2)","1.24 (1.13, 1.36)",233.73,159.49,437.28,0.0043
"No stroke history","Stroke","Matched Controls",118124,2111,98017,"21.5 (20.6, 22.5)","1.34 (1.22, 1.48)",149.79,112.4,224.45,0.0067
"No stroke history","Stroke","Risperidone Users",24462,512,17658,"29 (26.5, 31.5)","1.34 (1.22, 1.48)",149.79,112.4,224.45,0.0067
"No stroke history","stroke.hes","Matched Controls",118124,1359,98206,"13.8 (13.1, 14.6)","1.19 (1.04, 1.35)",527,279.07,4722.85,0.0019
"No stroke history","stroke.hes","Risperidone Users",24462,284,17707,"16 (14.2, 17.9)","1.19 (1.04, 1.35)",527,279.07,4722.85,0.0019
"Stroke history","Stroke","Matched Controls",18500,2423,13716,"176.7 (169.6, 183.7)","1.23 (1.12, 1.35)",34.54,23.74,63.36,0.029
"Stroke history","Stroke","Risperidone Users",3941,563,2536,"222 (203.7, 240.4)","1.23 (1.12, 1.35)",34.54,23.74,63.36,0.029
"Stroke history","stroke.hes","Matched Controls",18500,1102,14344,"76.8 (72.3, 81.4)","1.29 (1.13, 1.48)",57.55,36.97,129.86,0.0174
"Stroke history","stroke.hes","Risperidone Users",3941,266,2670,"99.6 (87.7, 111.6)","1.29 (1.13, 1.48)",57.55,36.97,129.86,0.0174
"CVD history","Stroke","Matched Controls",55886,3256,44014,"74 (71.4, 76.5)","1.22 (1.13, 1.33)",68.48,49.89,109.17,0.0146
"CVD history","Stroke","Risperidone Users",11686,741,7876,"94.1 (87.3, 100.9)","1.22 (1.13, 1.33)",68.48,49.89,109.17,0.0146
"CVD history","stroke.hes","Matched Controls",55886,1652,44706,"37 (35.2, 38.7)","1.24 (1.1, 1.38)",134.92,87.71,292.2,0.0074
"CVD history","stroke.hes","Risperidone Users",11686,370,8024,"46.1 (41.4, 50.8)","1.24 (1.1, 1.38)",134.92,87.71,292.2,0.0074
"No CVD history","Stroke","Matched Controls",80738,1278,67719,"18.9 (17.8, 19.9)","1.44 (1.27, 1.62)",130.58,97.49,197.66,0.0077
"No CVD history","Stroke","Risperidone Users",16717,334,12318,"27.1 (24.2, 30)","1.44 (1.27, 1.62)",130.58,97.49,197.66,0.0077
"No CVD history","stroke.hes","Matched Controls",80738,809,67844,"11.9 (11.1, 12.7)","1.26 (1.07, 1.47)",431.41,235.01,2626.1,0.0023
"No CVD history","stroke.hes","Risperidone Users",16717,180,12353,"14.6 (12.4, 16.7)","1.26 (1.07, 1.47)",431.41,235.01,2626.1,0.0023
"HES Stroke","Stroke","Matched Controls",136624,4534,111733,"40.6 (39.4, 41.8)","1.28 (1.2, 1.37)",96.74,76.61,131.24,0.0103
"HES Stroke","Stroke","Risperidone Users",28403,1075,20194,"53.2 (50.1, 56.4)","1.28 (1.2, 1.37)",96.74,76.61,131.24,0.0103
"HES Stroke","stroke.hes","Matched Controls",136624,2461,112550,"21.9 (21, 22.7)","1.24 (1.13, 1.36)",233.73,159.49,437.28,0.0043
"HES Stroke","stroke.hes","Risperidone Users",28403,550,20377,"27 (24.7, 29.2)","1.24 (1.13, 1.36)",233.73,159.49,437.28,0.0043
"Pre-COVID overall","Stroke","Matched Controls",124117,4343,102938,"42.2 (40.9, 43.4)","1.25 (1.17, 1.34)",103.27,79.74,146.5,0.0097
"Pre-COVID overall","Stroke","Risperidone Users",26255,1029,19009,"54.1 (50.8, 57.4)","1.25 (1.17, 1.34)",103.27,79.74,146.5,0.0097
"Pre-COVID overall","stroke.hes","Matched Controls",124117,2433,103701,"23.5 (22.5, 24.4)","1.21 (1.1, 1.33)",254.24,165.08,552.83,0.0039
"Pre-COVID overall","stroke.hes","Risperidone Users",26255,541,19181,"28.2 (25.8, 30.6)","1.21 (1.1, 1.33)",254.24,165.08,552.83,0.0039
"Pre-COVID No stroke history","Stroke","Matched Controls",107505,2024,90452,"22.4 (21.4, 23.4)","1.31 (1.18, 1.45)",159.88,116.5,254.7,0.0063
